Oscilloscope data. 
Time step = 80,00 nS
Voltage step = 31,25 mV
Zero level = 95

N 	Min. 	Max.	T min 	T max.
485	162	163	1	1
486	162	163	1	1
487	162	162	1	1
488	161	162	1	1
489	162	163	1	1
490	161	162	1	1
491	161	162	1	1
492	161	162	1	1
493	161	161	1	1
494	161	161	1	1
495	161	161	1	1
496	161	161	1	1
497	161	161	1	1
498	160	161	1	1
499	160	161	1	1
500	160	161	1	1
501	160	161	1	1
502	160	161	1	1
503	160	161	1	1
504	160	161	1	1
505	160	161	1	1
506	160	161	1	1
507	159	161	1	1
508	160	161	1	1
509	159	161	1	1
510	159	161	1	1
511	159	160	1	1
512	159	160	1	1
513	159	160	1	1
514	158	159	1	1
515	158	159	1	1
516	158	159	1	1
517	158	159	1	1
518	158	158	1	1
519	158	158	1	1
520	157	158	1	1
521	157	158	1	1
522	157	158	1	1
523	157	158	1	1
524	157	157	1	1
525	157	157	1	1
526	156	157	1	1
527	157	157	1	1
528	156	157	1	1
529	156	157	1	1
530	156	156	1	1
531	155	156	1	1
532	155	156	1	1
533	155	155	1	1
534	155	155	1	1
535	155	155	1	1
536	155	155	1	1
537	154	155	1	1
538	154	155	1	1
539	154	155	1	1
540	154	155	1	1
541	154	154	1	1
542	153	154	1	1
543	153	154	1	1
544	153	154	1	1
545	153	154	1	1
546	153	153	1	1
547	153	153	1	1
548	151	153	1	1
549	152	153	1	1
550	152	153	1	1
551	151	153	1	1
552	151	152	1	1
553	151	153	1	1
554	151	153	1	1
555	151	152	1	1
556	150	151	1	1
557	150	151	1	1
558	150	151	1	1
559	150	151	1	1
560	150	151	1	1
561	150	151	1	1
562	149	150	1	1
563	149	150	1	1
564	149	150	1	1
565	149	149	1	1
566	148	149	1	1
567	148	149	1	1
568	148	149	1	1
569	148	149	1	1
570	148	148	1	1
571	147	148	1	1
572	147	148	1	1
573	146	148	1	1
574	147	148	1	1
575	147	147	1	1
576	146	147	1	1
577	146	147	1	1
578	146	147	1	1
579	145	147	1	1
580	145	146	1	1
581	145	146	1	1
582	145	146	1	1
583	145	145	1	1
584	144	145	1	1
585	144	145	1	1
586	144	144	1	1
587	143	144	1	1
588	143	144	1	1
589	143	144	1	1
590	143	144	1	1
591	143	144	1	1
592	143	144	1	1
593	142	144	1	1
594	142	143	1	1
595	142	142	1	1
596	141	142	1	1
597	142	142	1	1
598	141	142	1	1
599	141	142	1	1
600	141	141	1	1
601	141	141	1	1
602	140	141	1	1
603	140	141	1	1
604	140	140	1	1
605	140	141	1	1
606	139	140	1	1
607	139	140	1	1
608	139	140	1	1
609	139	139	1	1
610	138	139	1	1
611	138	139	1	1
612	138	139	1	1
613	138	138	1	1
614	137	138	1	1
615	137	138	1	1
616	137	138	1	1
617	136	137	1	1
618	136	137	1	1
619	136	137	1	1
620	136	136	1	1
621	135	136	1	1
622	135	136	1	1
623	135	136	1	1
624	135	136	1	1
625	134	135	1	1
626	134	135	1	1
627	134	135	1	1
628	134	134	1	1
629	134	134	1	1
630	133	134	1	1
631	133	134	1	1
632	133	134	1	1
633	133	134	1	1
634	132	133	1	1
635	132	133	1	1
636	132	133	1	1
637	132	132	1	1
638	131	132	1	1
639	131	132	1	1
640	131	132	1	1
641	131	132	1	1
642	131	131	1	1
643	130	131	1	1
644	130	131	1	1
645	130	131	1	1
646	130	130	1	1
647	129	130	1	1
648	129	130	1	1
649	129	129	1	1
650	129	129	1	1
651	128	129	1	1
652	128	129	1	1
653	128	129	1	1
654	128	128	1	1
655	128	128	1	1
656	127	128	1	1
657	127	129	1	1
658	127	128	1	1
659	126	128	1	1
660	127	128	1	1
661	126	127	1	1
662	126	126	1	1
663	126	126	1	1
664	125	126	1	1
665	125	126	1	1
666	125	126	1	1
667	125	125	0	1
668	124	125	0	0
669	124	125	0	0
670	124	125	0	0
671	123	125	0	0
672	123	124	0	0
673	123	124	0	0
674	123	123	0	0
675	123	123	0	0
676	122	123	0	0
677	122	123	0	0
678	122	123	0	0
679	122	123	0	0
680	122	123	0	0
681	121	122	0	0
682	121	122	0	0
683	121	122	0	0
684	120	121	0	0
685	121	121	0	0
686	120	121	0	0
687	120	121	0	0
688	119	120	0	0
689	119	120	0	0
690	119	120	0	0
691	119	119	0	0
692	119	119	0	0
693	119	119	0	0
694	118	119	0	0
695	118	119	0	0
696	118	119	0	0
697	118	118	0	0
698	117	118	0	0
699	117	118	0	0
700	117	118	0	0
701	117	117	0	0
702	116	117	0	0
703	116	117	0	0
704	116	117	0	0
705	116	116	0	0
706	115	116	0	0
707	115	116	0	0
708	115	116	0	0
709	115	115	0	0
710	115	115	0	0
711	115	115	0	0
712	115	115	0	0
713	114	115	0	0
714	113	115	0	0
715	113	114	0	0
716	113	114	0	0
717	113	114	0	0
718	113	113	0	0
719	113	113	0	0
720	112	113	0	0
721	112	113	0	0
722	112	113	0	0
723	112	112	0	0
724	111	112	0	0
725	111	113	0	0
726	111	112	0	0
727	111	112	0	0
728	111	112	0	0
729	110	112	0	0
730	110	111	0	0
731	110	111	0	0
732	110	111	0	0
733	110	111	0	0
734	110	110	0	0
735	110	110	0	0
736	109	110	0	0
737	109	109	0	0
738	109	109	0	0
739	108	109	0	0
740	108	109	0	0
741	108	109	0	0
742	108	109	0	0
743	108	108	0	0
744	108	108	0	0
745	107	108	0	0
746	107	108	0	0
747	107	108	0	0
748	107	108	0	0
749	107	107	0	0
750	107	107	0	0
751	106	107	0	0
752	106	107	0	0
753	106	107	0	0
754	106	107	0	0
755	106	106	0	0
756	105	106	0	0
757	105	106	0	0
758	105	106	0	0
759	105	106	0	0
760	105	105	0	0
761	105	105	0	0
762	104	105	0	0
763	104	105	0	0
764	104	104	0	0
765	104	104	0	0
766	104	104	0	0
767	104	104	0	0
768	103	104	0	0
769	103	104	0	0
770	103	104	0	0
771	103	103	0	0
772	103	103	0	0
773	103	103	0	0
774	103	103	0	0
775	102	103	0	0
776	102	103	0	0
777	102	103	0	0
778	102	102	0	0
779	102	102	0	0
780	102	102	0	0
781	101	102	0	0
782	101	102	0	0
783	101	102	0	0
784	101	102	0	0
785	101	102	0	0
786	101	101	0	0
787	101	101	0	0
788	101	101	0	0
789	100	101	0	0
790	100	101	0	0
791	100	101	0	0
792	100	101	0	0
793	100	100	0	0
794	100	100	0	0
795	100	100	0	0
796	99	100	0	0
797	99	100	0	0
798	99	100	0	0
799	99	100	0	0
800	99	100	0	0
801	99	99	0	0
802	99	99	0	0
803	99	99	0	0
804	99	99	0	0
